group,operation,kind,ms,gasUsed,success,notes
"deploy","deploy AuditRegistry","deploy","6.788","299322","true","0x5FbDB2315678afecb367f032d93F642f64180aa3"
"deploy","deploy OrganizationRegistry","deploy","9.233","1036377","true","0xe7f1725E7734CE288F8367e1Bb143E90bb3F0512"
"deploy","deploy IdentityRegistry","deploy","2.517","779087","true","0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0"
"setup","authorize OrganizationRegistry as audit emitter","tx","2.745","47718","true",""
"setup","authorize IdentityRegistry as audit emitter","tx","1.901","47718","true",""
"setup","add Organization 1","tx","2.204","214649","true",""
"setup","add Organization 2","tx","2.046","180437","true",""
"setup","add Organization 3","tx","2.013","180449","true",""
"identity","register DID org1","tx","2.212","260175","true",""
"identity","register DID org2","tx","1.906","260151","true",""
"identity","register DID org3","tx","1.923","260175","true",""
"identity","register DID doctorA","tx","1.871","260175","true",""
"identity","register DID patient","tx","1.876","260175","true",""
"identity","register DID doctorB","tx","2.186","260175","true",""
"identity","register DID doctorC","tx","1.821","260175","true",""
"identity","register DID auditor","tx","1.974","260163","true",""
"identity","register DID attacker","tx","2.18","260175","true",""
"identity","register DID doctorD","tx","1.662","260175","true",""
"deploy","deploy TrustRegistry","deploy","2.758","751158","true","0x2279B7A0a67DB372996a5FaB50D91eAA73d2eBe6"
"setup","authorize TrustRegistry as audit emitter","tx","1.434","47718","true",""
"trust","authorize issuer Org1 for MedicalProfessionalVC","tx","1.968","80356","true",""
"trust","authorize issuer Org1 for AuditorProfessionalVC","tx","1.768","80356","true",""
"deploy","deploy CredentialStatusRegistry","deploy","3.486","1581605","true","0xA51c1fc2f0D1a1b8494Ed1FE312d7C3a78Ed91C0"
"setup","authorize CredentialStatusRegistry as audit emitter","tx","1.477","47718","true",""
"credential","issue credential doctorA-medical-v1","tx","2.509","303424","true",""
"credential-offchain","build SD-JWT PresentedCredential doctorA-medical-v1","view","0.18","","true","operazione off-chain simulata: costruzione pacchetto vc+sd-jwt compatibile con la struct Solidity"
"credential","issue credential auditor-ana-v1","tx","2.237","286324","true",""
"credential-offchain","build SD-JWT PresentedCredential auditor-ana-v1","view","0.056","","true","operazione off-chain simulata: costruzione pacchetto vc+sd-jwt compatibile con la struct Solidity"
"credential","issue credential doctorD-medical-v1","tx","2.114","286324","true",""
"credential-offchain","build SD-JWT PresentedCredential doctorD-medical-v1","view","0.06","","true","operazione off-chain simulata: costruzione pacchetto vc+sd-jwt compatibile con la struct Solidity"
"deploy","deploy PolicyRegistry","deploy","2.642","1013317","true","0x9A676e781A523b5d0C0e43731313A708CB607508"
"setup","authorize PolicyRegistry as audit emitter","tx","1.559","47718","true",""
"policy","map MedicalProfessionalVC to Doctor role","tx","1.691","58976","true",""
"policy","map AuditorProfessionalVC to Auditor role","tx","1.62","58976","true",""
"deploy","deploy PolicyGovernance","deploy","3.539","2025803","true","0x68B1D87F95878fE05B998F19b66F4baba5De1aed"
"setup","authorize PolicyGovernance as audit emitter","tx","1.687","47718","true",""
"governance-setup","set OrganizationRegistry governance contract","tx","1.339","45070","true",""
"governance-setup","set PolicyRegistry governance contract","tx","1.372","45055","true",""
"governance-setup","set TrustRegistry governance contract","tx","1.497","45025","true",""
"deploy","deploy DocumentLifecycleRegistry","deploy","3.276","1960763","true","0x322813Fd9A801c5507c9de605d63CEA4f2CE6c44"
"deploy","deploy PatientDrivenPolicyRegistry","deploy","2.6","1263264","true","0xa85233C63b9Ee964Add6F2cffe00Fd84eb32338f"
"deploy","deploy DelegationRegistry","deploy","3.978","2478056","true","0x4A679253410272dd5232B3Ff7cF5dbB88f295319"
"deploy","deploy AccessController","deploy","2.924","853433","true","0x7a2088a1bFc9d81c55368AE168C2C02570cB814F"
"setup","authorize DocumentLifecycleRegistry as audit emitter","tx","1.503","47718","true",""
"setup","authorize PatientDrivenPolicyRegistry as audit emitter","tx","1.592","47706","true",""
"setup","authorize DelegationRegistry as audit emitter","tx","1.4","47718","true",""
"setup","authorize AccessController as audit emitter","tx","1.41","47718","true",""
"setup","lock OrganizationRegistry bootstrap","tx","1.292","27494","true",""
"setup","lock PolicyRegistry bootstrap","tx","1.269","27486","true",""
"setup","lock TrustRegistry bootstrap","tx","1.251","27457","true",""
"setup","lock AuditRegistry bootstrap","tx","1.266","44528","true",""
"governance","read nextProposalId for Doctor CREATE REFERTO","view","1.827","","true",""
"governance","propose global policy: Doctor CREATE REFERTO","tx","2.305","226995","true",""
"governance","vote org1 for global policy: Doctor CREATE REFERTO","tx","1.936","135684","true",""
"governance","vote org2 for global policy: Doctor CREATE REFERTO","tx","1.745","101484","true",""
"governance","finalize global policy: Doctor CREATE REFERTO","tx","2.707","117004","true",""
"governance","read nextProposalId for Doctor READ REFERTO","view","0.777","","true",""
"governance","propose global policy: Doctor READ REFERTO","tx","2.193","226995","true",""
"governance","vote org1 for global policy: Doctor READ REFERTO","tx","1.775","135684","true",""
"governance","vote org2 for global policy: Doctor READ REFERTO","tx","2.179","101484","true",""
"governance","finalize global policy: Doctor READ REFERTO","tx","2.32","117004","true",""
"governance","read nextProposalId for Doctor UPDATE REFERTO","view","0.586","","true",""
"governance","propose global policy: Doctor UPDATE REFERTO","tx","2.165","226995","true",""
"governance","vote org1 for global policy: Doctor UPDATE REFERTO","tx","1.745","135684","true",""
"governance","vote org2 for global policy: Doctor UPDATE REFERTO","tx","1.75","101484","true",""
"governance","finalize global policy: Doctor UPDATE REFERTO","tx","2.342","117004","true",""
"governance","read nextProposalId for Doctor REVOKE REFERTO","view","0.507","","true",""
"governance","propose global policy: Doctor REVOKE REFERTO","tx","1.925","226995","true",""
"governance","vote org1 for global policy: Doctor REVOKE REFERTO","tx","1.997","135684","true",""
"governance","vote org2 for global policy: Doctor REVOKE REFERTO","tx","1.845","101484","true",""
"governance","finalize global policy: Doctor REVOKE REFERTO","tx","2.299","117004","true",""
"governance","read nextProposalId for Doctor DELEGATE REFERTO","view","0.542","","true",""
"governance","propose global policy: Doctor DELEGATE REFERTO","tx","1.998","226995","true",""
"governance","vote org1 for global policy: Doctor DELEGATE REFERTO","tx","1.896","135684","true",""
"governance","vote org2 for global policy: Doctor DELEGATE REFERTO","tx","1.791","101484","true",""
"governance","finalize global policy: Doctor DELEGATE REFERTO","tx","2.438","117004","true",""
"governance","read nextProposalId for maxDelegationDepth","view","0.552","","true",""
"governance","propose maxDelegationDepth = 2","tx","2.431","161284","true",""
"governance","vote org1 for maxDelegationDepth = 2","tx","2.205","135684","true",""
"governance","vote org2 for maxDelegationDepth = 2","tx","2.073","101484","true",""
"governance","finalize maxDelegationDepth = 2","tx","3.074","116530","true",""
"credential","verify PresentedCredential for Doctor A","view","2.141","","true",""
"credential","verify PresentedCredential for Doctor D","view","1.548","","true",""
"policy","canPerformWithCredential Doctor CREATE REFERTO","view","1.722","","true",""
"document-lifecycle","create document v1","tx","5.096","354792","true",""
"document-lifecycle","patient cannot revoke document","expected-revert","8.121","","true","revert atteso"
"document-lifecycle","get current document after create","view","1.294","","true",""
"document-lifecycle","create document v2","tx","5.832","340267","true",""
"document-lifecycle","verify CID document v2","view","1.403","","true",""
"access-control","canAccess Doctor A READ by global policy + VC","view","3.059","","true",""
"access-control","requestAccess Doctor A READ by global policy + VC","tx","5.27","160809","true",""
"access-control","canAccess Auditor read REFERTO","view","2.025","","true",""
"patient-driven-policy","register patient-driven allowance for Doctor D READ","tx","3.165","354536","true",""
"patient-driven-policy","isAllowed Doctor D READ by patient-driven positive policy","view","0.781","","true",""
"access-control","canAccess Doctor D after patient-driven positive allowance","view","1.981","","true",""
"access-control","requestAccess Doctor D after patient-driven positive allowance","tx","4.802","191228","true",""
"delegation","read nextProposalId for direct delegation","view","0.523","","true",""
"delegation","propose direct delegation Doctor A -> Doctor B","tx","4.237","446945","true",""
"access-control","canAccess Doctor B while delegation is Pending","view","1.439","","true",""
"delegation","read nextDelegationId for direct delegation","view","0.56","","true",""
"delegation","approve direct delegation by patient","tx","2.975","437350","true",""
"access-control","canAccess Doctor B after direct delegation","view","1.669","","true",""
"access-control","requestAccess Doctor B through direct delegation","tx","5.207","163023","true",""
"delegation","read nextProposalId for derived delegation","view","8.559","","true",""
"delegation","propose derived delegation Doctor B -> Doctor C","tx","3.009","408799","true",""
"delegation","read nextDelegationId for derived delegation","view","0.463","","true",""
"delegation","approve derived delegation by patient","tx","3.344","457250","true",""
"access-control","canAccess Doctor C after derived delegation","view","2.036","","true",""
"delegation-security","reject third-level delegation above maxDepth","expected-revert","2.203","","true","revert atteso"
"delegation","revoke parent direct delegation by patient","tx","3.547","109779","true",""
"access-control","canAccess Doctor B after parent delegation revocation","view","1.931","","true",""
"access-control","canAccess Doctor C after parent delegation revocation","view","1.804","","true",""
"patient-driven-policy","register patient-driven access revocation for Doctor A READ","tx","3.657","337416","true",""
"document-lifecycle","isDocumentActive after patient-driven access revocation","view","0.69","","true",""
"access-control","canAccess Doctor A after patient-driven access revocation","view","1.787","","true",""
"credential","revoke Doctor A VC by issuer","tx","2.022","81315","true",""
"credential","isCredentialValid Doctor A after VC revocation","view","0.539","","true",""
"access-control","canAccess Doctor A after VC revocation","view","1.47","","true",""
